model_kind,model_label,n_obs,mae,rmse,pred_y_corr,direction_acc,oos_r2_vs_model0,index_symbol,indexret_spec,horizon
model0,Model 0,1256,0.00952149428914852,0.01358588071170735,-0.06559419832305341,0.535031847133758,0.0,^GSPC,ret5,1
model1,Model 1,1256,0.009525240540952431,0.013585711238104273,0.0033687505401953197,0.518312101910828,2.4948334177765652e-05,^GSPC,ret5,1
model2,Model 2,1256,0.009540144935571596,0.013591214092238253,-0.0035459169686272887,0.5143312101910829,-0.0007852898904492367,^GSPC,ret5,1
model3,Model 3,1256,0.009534303867009543,0.013586750822095225,0.0068256628966521,0.5151273885350318,-0.0001280944930308614,^GSPC,ret5,1
model4,Model 4,1256,0.009537117435652024,0.013577497115482822,0.03624047046184016,0.5071656050955414,0.0012337822951823396,^GSPC,ret5,1
model2_vix,Model 2V,1256,0.009537761618110489,0.01358884965580866,0.0031824901034900456,0.5119426751592356,-0.0004371109342640178,^GSPC,ret5,1
