epochs,seed,model_kind,index_symbol,start,end,epoch,train_loss,val_ic,val_icir,val_mae
1,7,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.0008749036636933097,-0.033437990580847725,-0.15512599684419798,0.007373644537303465
1,7,econ_time,^GSPC,2022-01-01,2024-12-31,1,0.002077408785360134,0.029709576138147564,0.11684192374588788,0.007499908128319364
1,7,static,^GSPC,2022-01-01,2024-12-31,1,0.0038818247020101946,0.03018053375196232,0.12793447558139,0.009080647904593855
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.0008749036636933097,-0.033437990580847725,-0.15512599684419798,0.007373644537303465
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,2,0.00025179703144078433,-0.02834379905808477,-0.13090348130501728,0.008064239325060545
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,3,0.00018379679009831903,-0.027590266875981165,-0.11865806529790023,0.007653371957816656
3,7,econ_time,^GSPC,2022-01-01,2024-12-31,1,0.002077408785360134,0.029709576138147564,0.11684192374588788,0.007499908128319364
3,7,econ_time,^GSPC,2022-01-01,2024-12-31,2,0.0004875337499060364,-0.0069544740973312424,-0.025612413017132234,0.007425764921737324
3,7,econ_time,^GSPC,2022-01-01,2024-12-31,3,0.00031613372202353305,0.03304552590266876,0.1375861160223088,0.0072943884563634424
3,7,static,^GSPC,2022-01-01,2024-12-31,1,0.0038818247020101946,0.03018053375196232,0.12793447558139,0.009080647904593855
3,7,static,^GSPC,2022-01-01,2024-12-31,2,0.0005297355938252444,0.028390894819466248,0.12136815884358171,0.0074202976267511355
3,7,static,^GSPC,2022-01-01,2024-12-31,3,0.00036413133669393934,0.02488942891840076,0.10930142900530469,0.007452498265655294
