model_kind,model_label,term,coef,t_value,p_value,index_symbol,indexret_spec,horizon
model0,Model 0,const,0.00022597843918443879,2.0266787420853047,0.04269527786442214,^GSPC,ret1,1
model1,Model 1,const,0.0003139306316863819,1.944176703707912,0.05187414606825541,^GSPC,ret1,1
model1,Model 1,bear,-0.00047767855129948766,-1.2616461702691288,0.2070761346594998,^GSPC,ret1,1
model1,Model 1,intensity,5.410622139971499e-05,0.15206643905723227,0.8791345340742163,^GSPC,ret1,1
model2,Model 2,const,0.0001362743234943438,0.8970444867756372,0.3696951790480698,^GSPC,ret1,1
model2,Model 2,bear,0.000996987117717519,1.15603767134547,0.24766574849721357,^GSPC,ret1,1
model2,Model 2,intensity,0.0004904833071846638,1.446682860870264,0.14798576687076914,^GSPC,ret1,1
model2,Model 2,bear_x_intensity,-0.0022922599273792767,-1.9469353676694803,0.051542483810192184,^GSPC,ret1,1
model3,Model 3,const,0.0007579413915573292,2.0416161091035243,0.04118962609971999,^GSPC,ret1,1
model3,Model 3,position,-0.00816510102626536,-1.7221921879957685,0.08503470952096427,^GSPC,ret1,1
model3,Model 3,intensity,-0.0007309173097994873,-1.3961999972396983,0.16265427755308093,^GSPC,ret1,1
model3,Model 3,position_x_intensity,0.015074419791493543,2.0483868923431063,0.04052210486077617,^GSPC,ret1,1
model4,Model 4,const,0.0007379209002376767,1.9770334092806974,0.04803785389483043,^GSPC,ret1,1
model4,Model 4,position,-0.008038451977419812,-1.6768758369357346,0.09356676405696959,^GSPC,ret1,1
model4,Model 4,intensity,-0.0006946700772565062,-1.3302078495083722,0.18344979862807897,^GSPC,ret1,1
model4,Model 4,position_x_intensity,0.015823406928827673,2.1686944737156275,0.030105887225691207,^GSPC,ret1,1
model4,Model 4,indexret,-0.004900454477023898,-0.20195409083951607,0.8399526147999382,^GSPC,ret1,1
model4,Model 4,intensity_x_indexret,-0.03681351706197903,-0.9822236651261318,0.3259896713639244,^GSPC,ret1,1
model2_vix,Model 2V,const,0.00014894073513525488,0.9712000312092651,0.3314486783523678,^GSPC,ret1,1
model2_vix,Model 2V,bear,0.0011425756371701463,1.306172275551083,0.19149397874079266,^GSPC,ret1,1
model2_vix,Model 2V,vix_proxy,0.0004527933566770878,1.3345117571725171,0.18203619629566092,^GSPC,ret1,1
model2_vix,Model 2V,bear_x_vix,-0.002498871722996601,-2.0615664669224545,0.03924902933470543,^GSPC,ret1,1
