epochs,model_kind,ic_mean,ic_std,icir_mean,mae_mean,mae_std,pe_scale_mean,pe_scale_std,fusion_gate_mean,context_gate_mean,attn_swap_delta_mean,qk_swap_delta_mean
1,concat_a,0.041868131868131875,,0.1583526395331897,0.007149924655538473,,,,,,,
1,static,-0.03119309262166406,,-0.11980209450136413,0.008614610112796068,,,,,,,
1,tau_rope,0.028924646781789635,,0.13795450501124762,0.016822995790804266,,,,0.3510770362129017,,1.619641582080049e-05,0.0004628662527443803
3,concat_a,0.0713465743575086,,0.2641216615130136,0.007273167095062727,,,,,,,
3,static,-0.011428571428571425,,-0.047063653745941667,0.007236244960912565,,,,,,,
3,tau_rope,0.06589481946624805,,0.2669622128719855,0.00721003842069554,,,,0.2274697776959867,,1.3748445241932986e-05,0.0003985177825338074
